Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget,Cast Member,Cast Member Frequency,Director,Title Word,Title Word Frequency,Description Word,Description Word Frequency,Genres Word,Genres Frequency
Gut," Drama,  Horror,  Thriller",26-Oct-12,USA,,3.9,91 min,"Directed by Elias. With Jason Vail, Nicholas Wilder, Sarah Schoofs, Kirstianna Mueller. Family man Tom has seen something he can't forget, a mysterious video with an ugly secret that soon spreads into his daily life and threatens to dismantle everything around him.","Jason Vail, Nicholas Wilder, Sarah Schoofs, Kirstianna Mueller, Kaitlyn Mueller, Angie Bullaro, Ria Burns-Wilder, Miles Joris-Peyrafitte, Karl Pfeiffer, Leisa Haddad, Misty Gonzalez, Jordan Sariego, Christine Kadets, Deborah J. Atuk, J. Brett Rose",English,"New York, USA",,Lloyd Kaufman,29,Elias,deadtime,1,young,485, Horror,3327
Haunting Mia Moss, Horror,13-Jan-17,USA,,,,"Directed by Jake Zelch. With Nicola Fiore, Brinke Stevens, Curtis Carnahan, Jake Zelch.","Nicola Fiore, Brinke Stevens, Curtis Carnahan, Jake Zelch, Haley Bordelon, Asalee Biagioli, Emily Christina, Erin Felts, Jerri Gerth, Dustin Hubbard, Justin Isom Jr., Erik Kommer, Mackenzie Lampkin-Isom, Ben Milke, Destinie Orndoff",English,,30000,Eric Roberts,28,Jake Zelch,huckstabelle,1,group,369, Thriller,1378
Sleepwalking, Horror,21-Oct-17,Canada,,,,"Directed by David Briggs. With Alysia Topol, Anthony Makela, Kelsi Ashley, Patrick J. Carew.","Alysia Topol, Anthony Makela, Kelsi Ashley, Patrick J. Carew, Chiv Chivaul, Starlotte Dresen, Melanie Durette, Emilie Overton, Corey Pascall, Lindsay Primeau, Trish Rainone, Tammy-lynn Wilcox",English,"Sudbury, Ontario, Canada",,Debbie Rochon,23,David Briggs,nightscape,1,friends,326, Drama,531
Treasure Chest Horrors II," Comedy,  Horror,  Thriller",23-Apr-13,USA,NOT RATED,3.7,82 min,"Directed by M. Kelley, Shawn C. Phillips, Alex Powers. With Veronica Ricci, Nicholas Adam Clark, James Cullen Bressack, Nick Waugh. Mona Screamalot, along with her crazy family, prepares you for six short horror films from deep within her trashy treasure chest. This anthology features party killers, giant killer babies, an angry murderous child, a bacterial infection like no other, a murderous cross dresser,a killer in the woods, and Satan. Oh yeah, don't forget the buckets of blood.","Veronica Ricci, Nicholas Adam Clark, James Cullen Bressack, Nick Waugh, Shawn C. Phillips, Brent Buser, Miles Dougal, Joseph Frantz, M. Kelley, Brendan Mitchell, Joben Penuliar, Ethan Phillips, Kim Phillips, Stephen Phillips, Alex Powers",English,"Baltimore, Maryland, USA",,Maria Olsen,21,M,blood,61,house,322, Comedy,513
Infidus," Crime,  Drama,  Horror",10-Apr-15,USA,,5.8,80 min,"Directed by Giulio De Santi. With Bonini Mino, Massimo Caratelli, Maurizio Zaffino, Stefania Bonini. In the suburbs of Rome, two disparate lives with only desire for vengeance and redemption in common find their destinies intertwined. Massimo's mind is plagued with images of his wife's violent death at the hands of a criminal gang involved in the production of snuff films. With every memory of the woman he loved replaced by unforgettable images of her horrific final moments, Massimo sees only ...","Bonini Mino, Massimo Caratelli, Maurizio Zaffino, Stefania Bonini, Andrea Di Spirito, Walter Montano, Cristiano Mazzacane, Simone Paternosto, Adrian Baigus, Domenico Deltreppo, Manolo Di Rocco, Stefania Caratelli, Christian Riva, Domenico Vagnati, Roberta Abatiello",Italian,,,Brinke Stevens,18,Giulio De Santi,darr,1,family,275, Mystery,453
Extremis," Horror,  Thriller",2017,UK,,,93 min,"Directed by Steve Stone. With David O'Hara, Isabelle Allen, Neil Pearson, Toyah Willcox. It's the end of the world - at least their world.","David O'Hara, Isabelle Allen, Neil Pearson, Toyah Willcox, Bill Fellows, Tina Harris, Nick Cornwall, Lisa Gormley, Joe Simpson, Stuart Sessions, Luke Ryder, Jeannie McGinnis, Michael David Worden, Lorraine Dallas, Amy Popplewell",English,,3400000,Bill Moseley,18,Steve Stone,exhibit,1,life,272, Action,336
Ghostlight," Drama,  Horror,  Thriller",3-Jun-14,USA,NOT RATED,5.1,90 min,"Directed by Jeff Ferrell. With Eden Campbell, Lisa Coronado, David A. Crellin, Jeff Ferrell. Andrew wins a radio contest to spend one night alone in a haunted theater on the 80th anniversary of the bloody murder/suicide that occurred within its walls. His prize: $50,000. His task: To spend 12 hours alone inside. The catch: The theater has been reportedly haunted ever since the tragedy 80 years ago, and has been plagued by a series of mysterious deaths in the years since. As Andrew is ...","Eden Campbell, Lisa Coronado, David A. Crellin, Jeff Ferrell, Ramona Freeborn, Russell Hodgkinson, Dennis Kleinsmith, Brian Sutherland",English,,,Bill Oberst Jr.,18,Jeff Ferrell,zomvideo,1,night,259, Sci-Fi,309
Parasyte Part," Action,  Drama,  Horror,  Sci-Fi",25-Apr-15,Japan,,6.5,117 min,"Directed by Takashi Yamazaki. With Shôta Sometani, Eri Fukatsu, Ai Hashimoto, Sadao Abe. Humanity is under attack by human-mimicking flesh-eating alien parasites. One parasite bonds with his young high school student host, and he convinces the parasite to help him stop the others.","Shôta Sometani, Eri Fukatsu, Ai Hashimoto, Sadao Abe, Satoshi Araki, Tadanobu Asano, Kazuki Kitamura, Jun Kunimura, Nao Ohmori, Pierre Taki",Japanese,"Tokyo, Japan",,Elissa Dowling,17,Takashi Yamazaki,doctor,3,man,251, Fantasy,229
Stranger House," Horror,  Mystery,  Thriller",28-May-17,Spain,PG-13,4.6,90 min,"Directed by Devon Gummersall. With Annabella Sciorra, Tammy Blanchard, Nathan Darrow, Dennis Boutsikaris. Eve has married the man of her dreams but when they return to live in the house willed to him by his first wife who died under horrific circumstances, it becomes a waking nightmare as Eve falls into a spiral of suspicion and madness.","Annabella Sciorra, Tammy Blanchard, Nathan Darrow, Dennis Boutsikaris, Jenn Liu, Roberta Maxwell, Bettina Skye, Angela Lin, Susan-Kate Heaney, Paul Urcioli, Yvette Mercedes, Peter Sabri, Fatima Mai, Denis Silvestri, Mike Nojun Park",English,"Warwick, New York, USA",,Suzi Lorraine,16,Devon Gummersall,tomorrow,1,home,249, Crime,121
Tutak Tutak Tutiya," Comedy,  Horror",7-Oct-16,India,,5.4,138 min,"Directed by Vijay. With Tamannaah Bhatia, Karishma Gulati, Esha Gupta, Amy Jackson. The Hindi version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Telugu version is Abhinetri (2016) and the Tamil version is Devi(L) (2016)","Tamannaah Bhatia, Karishma Gulati, Esha Gupta, Amy Jackson, Farah Khan, Ravi Khanna, Prabhudheva, Murli Sharma, Kanwalpreet Singh, Sonu Sood, Rajiv Thakur",Hindi,,,Kane Hodder,16,Vijay,laurie,1,two,248, Adventure,116
