Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget,Cast Member,Cast Member Frequency,Director,Title Word,Title Word Frequency,Description Word,Description Word Frequency,Genres Word,Genres Frequency,Headline Word,Headline Frequency,Headline Percent 
,,,,,,,,,,,,,,,,,,, Horror,3327.0,Trump,7175,3.600389394
,,,,,,,,,,,,,,,,,,, Thriller,1378.0,Donald,2715,1.362377311
Possession Michael King, Horror,22-Aug-14,USA,R,5.7,83 min,"Directed by David Jung. With Shane Johnson, Ella Anderson, Cara Pifko, Krystal Alvarez. After poor advice from a psychic leads to the death of his wife, a man vows to disprove the existence of the paranormal by allowing himself to be possessed by demons.","Shane Johnson, Ella Anderson, Cara Pifko, Krystal Alvarez, Tomas Arana, Luke Baines, Dale Dickey, Cullen Douglas, Michael Ray Escamilla, RJ Farrington, Gabe Gomez, Patricia Healy, Erika Heidelberger, Tobias Jelinek, Shirley Jordan",English,"Los Angeles, California, USA",,Pete Lee-Wilson,2.0,David Jung,replace,1.0,holy,6.0, Drama,531.0,Clinton,1675,0.840509022
,,,,,,,,,,,,,,,,,,, Comedy,513.0,Obama,1564,0.784809618
,,,,,,,,,,,,,,,,,,, Mystery,453.0,GOP,1446,0.72559764
,,,,,,,,,,,,,,,,,,, Action,336.0,Hillary,1266,0.635274282
,,,,,,,,,,,,,,,,,,, Sci-Fi,309.0,New,1065,0.534413199
,,,,,,,,,,,,,,,,,,, Fantasy,229.0,Says,1026,0.514843138
,,,,,,,,,,,,,,,,,,, Crime,121.0,House,916,0.459645531
,,,,,,,,,,,,,,,,,,, Adventure,116.0,U.S.,783,0.392906606
,,,,,,,,,,,,,,,,,,, Romance,99.0,Court,760,0.381365288
,,,,,,,,,,,,,,,,,,, Animation,39.0,Sanders,751,0.37684912
,,,,,,,,,,,,,,,,,,, Western,15.0,Republicans,695,0.34874852
