Headline Word,Headline Frequency,Headline Percent
Abandon,6,0.003010688
Abandoned,3,0.001505344
Abandoning,4,0.002007125
Abandons,3,0.001505344
Abbas,2,0.001003563
Abbott,7,0.003512469
ABC,3,0.001505344
Abdicated,1,0.000501781
Abdication,1,0.000501781
Abdul-Jabbar,2,0.001003563
Abe,2,0.001003563
Abedin,8,0.004014251
Abel,1,0.000501781
Abercrombie,1,0.000501781
Abide,1,0.000501781
Ability,10,0.005017813
Able,12,0.006021376
ABLE,1,0.000501781
Abner,2,0.001003563
Aboard,4,0.002007125
Abolish,6,0.003010688
Abolish,1,0.000501781
Abolished,1,0.000501781
Abolishing,4,0.002007125
Abolitionists,1,0.000501781
Abort,1,0.000501781
Aborted,3,0.001505344
Abortion,146,0.073260073
Abortion,1,0.000501781
Abortions,19,0.009533845
Abound,1,0.000501781
About,2,0.001003563
About-Face,1,0.000501781
Abraham,8,0.004014251
Abramson,1,0.000501781
Abroad,13,0.006523157
Abruptly,5,0.002508907
Absence,5,0.002508907
Absences,1,0.000501781
Absences,1,0.000501781
Absent,4,0.002007125
Absentee,1,0.000501781
Absenteeism,2,0.001003563
Absolute,2,0.001003563
Absolute,1,0.000501781
Absolutely,12,0.006021376
Absolutely,8,0.004014251
Absolution,1,0.000501781
Absolve,2,0.001003563
Absorbed,1,0.000501781
Abstention,1,0.000501781
Abstinence-Only,2,0.001003563
Absurd,9,0.004516032
Absurdistan,1,0.000501781
Absurdity,2,0.001003563
Absurdly,1,0.000501781
Abu,2,0.001003563
Abundance,1,0.000501781
Abuse,46,0.023081941
Abused,2,0.001003563
Abusers,6,0.003010688
Abuses,7,0.003512469
Abusing,2,0.001003563
Abusive,8,0.004014251
Abusive,1,0.000501781
Abysmal,3,0.001505344
Abysmally,1,0.000501781
Abyss,1,0.000501781
ACA,14,0.007024939
ACA/AHCA,1,0.000501781
Academia,2,0.001003563
Academic,2,0.001003563
Academy,1,0.000501781
Accelerated,1,0.000501781
Accent,4,0.002007125
Accept,27,0.013548096
Accept,1,0.000501781
Acceptable,2,0.001003563
Acceptance,4,0.002007125
Accepted,5,0.002508907
Accepting,7,0.003512469
Accepts,3,0.001505344
Access,95,0.047669226
Accessed,1,0.000501781
Accessing,1,0.000501781
Accident,2,0.001003563
Accidental,1,0.000501781
Accidental,1,0.000501781
Accidentally,12,0.006021376
Accidentally,1,0.000501781
Accommodate,1,0.000501781
Accommodating,1,0.000501781
Accompany,2,0.001003563
Accomplished,4,0.002007125
Accomplishing,1,0.000501781
Accomplishment,3,0.001505344
Accomplishments,4,0.002007125
Accord,14,0.007024939
According,19,0.009533845
Account,19,0.009533845
Accountability,6,0.003010688
Accountable,5,0.002508907
Accountable,1,0.000501781
Accountant,1,0.000501781
Accounting,1,0.000501781
Accounts,6,0.003010688
Accurate,4,0.002007125
Accusation,1,0.000501781
Accusations,5,0.002508907
Accuse,9,0.004516032
Accused,47,0.023583722
Accuser,3,0.001505344
Accusers,8,0.004014251
Accuses,45,0.02258016
Accusing,6,0.003010688
Ace,2,0.001003563
Achieve,3,0.001505344
Achievement,5,0.002508907
Achievements,4,0.002007125
Achieves,1,0.000501781
Achilles,1,0.000501781
Acid,1,0.000501781
Acknowledge,7,0.003512469
Acknowledges,3,0.001505344
Acknowledging,3,0.001505344
ACLU,30,0.01505344
ACORN,1,0.000501781
Acosta,2,0.001003563
Acquired,1,0.000501781
Acquires,1,0.000501781
Acquiring,1,0.000501781
Acquittal,6,0.003010688
Acquitted,1,0.000501781
Acre,1,0.000501781
Acreage,1,0.000501781
Acres,3,0.001505344
Across,37,0.018565909
ACs,1,0.000501781
Act,104,0.052185258
Act,9,0.004516032
Acted,3,0.001505344
Acting,8,0.004014251
Acting,3,0.001505344
Action,89,0.044658538
Action-Movie,1,0.000501781
Actions,16,0.008028501
Active,6,0.003010688
Actively,2,0.001003563
Actively,1,0.000501781
Activism,10,0.005017813
Activist,25,0.012544533
Activists,84,0.042149631
Activities,1,0.000501781
Activity,5,0.002508907
Actor,5,0.002508907
Actress,1,0.000501781
Acts,10,0.005017813
Acts,1,0.000501781
Actual,18,0.009032064
Actually,119,0.059711978
Actually,1,0.000501781
Ad,107,0.053690602
ad,1,0.000501781
ADA,1,0.000501781
Adam,12,0.006021376
Adams,1,0.000501781
Add,12,0.006021376
Added,2,0.001003563
Addendum,1,0.000501781
Addict,2,0.001003563
Addicted,3,0.001505344
Addiction,26,0.013046314
Addicts,2,0.001003563
Addie,1,0.000501781
Adding,2,0.001003563
Additional,8,0.004014251
Address,70,0.035124693
Addressed,1,0.000501781
Addresses,11,0.005519595
Addressing,6,0.003010688
Adds,12,0.006021376
Adele,2,0.001003563
Adelson,17,0.008530283
Aden,1,0.000501781
Adequate,2,0.001003563
Adjudication,1,0.000501781
Adjustment,2,0.001003563
ADL,1,0.000501781
Admin,2,0.001003563
Administration,223,0.111897235
Administrative,1,0.000501781
Administrator,1,0.000501781
Admiral,2,0.001003563
Admirals,1,0.000501781
Admiration,2,0.001003563
Admirer,2,0.001003563
Admires,2,0.001003563
Admission,3,0.001505344
Admissions,2,0.001003563
Admit,19,0.009533845
Admits,50,0.025089066
Admitted,8,0.004014251
Admitting,3,0.001505344
Ado,2,0.001003563
Adolf,1,0.000501781
Adopt,6,0.003010688
Adopted,3,0.001505344
Adoptee,2,0.001003563
Adopting,4,0.002007125
Adoption,4,0.002007125
Adoptions,2,0.001003563
Adopts,4,0.002007125
Adorable,8,0.004014251
Adorables,1,0.000501781
Adore,1,0.000501781
Adorn,1,0.000501781
Adrian,1,0.000501781
Ads,51,0.025590848
Adulation,1,0.000501781
Adult,8,0.004014251
Adults,7,0.003512469
Advance,7,0.003512469
Advanced,2,0.001003563
Advances,13,0.006523157
Advantage,17,0.008530283
Adventure,1,0.000501781
adventurism,1,0.000501781
Adversaries,1,0.000501781
Advertised,1,0.000501781
Advertising,6,0.003010688
Advice,31,0.015555221
Advise,3,0.001505344
Adviser,72,0.036128255
Advisers,11,0.005519595
Advises,3,0.001505344
Advising,6,0.003010688
Advisor,6,0.003010688
Advisors,1,0.000501781
Advisory,12,0.006021376
Advocacy,11,0.005519595
Advocate,9,0.004516032
Advocates,36,0.018064128
Advocating,2,0.001003563
AdWords,1,0.000501781
Aereo,1,0.000501781
Aerial,1,0.000501781
Aetna,3,0.001505344
ツ,2,0.001003563
Affair,11,0.005519595
Affairs,8,0.004014251
Affect,7,0.003512469
Affected,6,0.003010688
Affecting,4,0.002007125
Affection,1,0.000501781
Affects,3,0.001505344
Affiliation,3,0.001505344
Affinity,1,0.000501781
Affirmation,1,0.000501781
Affirmative,7,0.003512469
Affirms,2,0.001003563
Affleck,1,0.000501781
Afford,14,0.007024939
Affordability,3,0.001505344
Affordable,26,0.013046314
Affront,1,0.000501781
Afghan,17,0.008530283
Afghan,1,0.000501781
Afghanistan,64,0.032114005
Afghans,2,0.001003563
AFL-CIO,6,0.003010688
Afraid,15,0.00752672
Afraid,2,0.001003563
Africa,7,0.003512469
African,9,0.004516032
African-American,6,0.003010688
African-Americans,3,0.001505344
Africanus,1,0.000501781
AFSCME,1,0.000501781
After,1,0.000501781
Aftermath,17,0.008530283
Aftermath—More,1,0.000501781
Afternoon,2,0.001003563
After-school,1,0.000501781
AG,11,0.005519595
Ag,1,0.000501781
Age,42,0.021074816
Agencies,19,0.009533845
Agency,44,0.022078378
Agenda,58,0.029103317
Agent,14,0.007024939
Agents,22,0.011039189
Ages,2,0.001003563
Aggravate,1,0.000501781
Aggressive,5,0.002508907
Aggressive,1,0.000501781
Aggressively,3,0.001505344
Aggressors,1,0.000501781
Aging,1,0.000501781
Agitated,1,0.000501781
Agitator,1,0.000501781
Ago,39,0.019569472
AGO,1,0.000501781
Agony,1,0.000501781
Agree,41,0.020573034
Agreed,8,0.004014251
Agreeing,1,0.000501781
Agreement,47,0.023583722
Agreements,4,0.002007125
Agrees,16,0.008028501
Agrees,1,0.000501781
Agression,1,0.000501781
Agressive,1,0.000501781
Agriculture,7,0.003512469
AGs,2,0.001003563
Ah,1,0.000501781
Ah,1,0.000501781
AHCA,8,0.004014251
AHCA-ward,1,0.000501781
Ahead,96,0.048171007
ahead,1,0.000501781
ahhhh,1,0.000501781
Ahmed,11,0.005519595
Ai,2,0.001003563
ai,1,0.000501781
Aid,42,0.021074816
Aide,51,0.025590848
Aided,5,0.002508907
Aides,27,0.013548096
Aiding,3,0.001505344
AIDS,8,0.004014251
Aids,1,0.000501781
AIG,1,0.000501781
Ai-jen,2,0.001003563
Aiken,4,0.002007125
Ailes,10,0.005017813
Ailing,2,0.001003563
Ailments,1,0.000501781
Aim,28,0.014049877
Aimed,8,0.004014251
Aiming,3,0.001505344
Aims,17,0.008530283
aims,1,0.000501781
aint,1,0.000501781
AIPAC,5,0.002508907
Air,39,0.019569472
Air,1,0.000501781
Airbnb,7,0.003512469
Aircraft,1,0.000501781
Aires,1,0.000501781
Airing,3,0.001505344
airing,1,0.000501781
Airlifted,1,0.000501781
Airline,4,0.002007125
Airlines,9,0.004516032
Airplane,4,0.002007125
Airport,24,0.012042752
Airports,7,0.003512469
Airs,1,0.000501781
Airstrike,2,0.001003563
Airstrikes,9,0.004516032
Airtime,1,0.000501781
Airwaves,1,0.000501781
Aisle,2,0.001003563
Aisles,1,0.000501781
AKA,2,0.001003563
aka,2,0.001003563
Akhmetshin,1,0.000501781
Akin,8,0.004014251
Al,35,0.017562346
al,1,0.000501781
Al,1,0.000501781
Alabama,59,0.029605098
Alabamian,1,0.000501781
Alamo,1,0.000501781
Alan,6,0.003010688
Al-Ansari,1,0.000501781
Alarm,7,0.003512469
Alarmed,5,0.002508907
Alarmed,1,0.000501781
Alarming,4,0.002007125
Alarmist,1,0.000501781
Alarmist,1,0.000501781
Alarms,3,0.001505344
Alas,1,0.000501781
Alaska,31,0.015555221
Alaskan,4,0.002007125
Alaskans,1,0.000501781
Al-Assad,1,0.000501781
Albanian,1,0.000501781
Albany,2,0.001003563
Albero,1,0.000501781
Albert,1,0.000501781
Alberta,1,0.000501781
Alberto,1,0.000501781
Albright,6,0.003010688
Album,1,0.000501781
Albums,1,0.000501781
Albuquerque,2,0.001003563
Alchemy,1,0.000501781
Alcohol,2,0.001003563
Alcoholic,1,0.000501781
Aldrin,1,0.000501781
ALEC,5,0.002508907
Alec,3,0.001505344
ALEC-Backed,1,0.000501781
Alek,1,0.000501781
Aleppo,4,0.002007125
Alert,7,0.003512469
Alerts,1,0.000501781
Aleutian,1,0.000501781
Alex,9,0.004516032
Alexander,2,0.001003563
Alexandria,4,0.002007125
Alexis,1,0.000501781
Alfredo,1,0.000501781
Algal,1,0.000501781
Alger,1,0.000501781
Ali,8,0.004014251
Alias,1,0.000501781
Alice,1,0.000501781
Alicia,2,0.001003563
Alien,3,0.001505344
Alien,1,0.000501781
Alienate,2,0.001003563
Alienates,1,0.000501781
Alienating,3,0.001505344
Aliens,3,0.001505344
Align,4,0.002007125
Aligns,3,0.001505344
Alike,6,0.003010688
Alison,3,0.001505344
Alito,3,0.001505344
Alive,13,0.006523157
Aliyev,1,0.000501781
All,7,0.003512469
All-American,1,0.000501781
Allay,1,0.000501781
Allegation,1,0.000501781
Allegations,26,0.013046314
Allege,2,0.001003563
allege,1,0.000501781
Alleged,20,0.010035626
Allegedly,23,0.01154097
Alleges,8,0.004014251
Allegiance,3,0.001505344
Alleging,4,0.002007125
Allegory,2,0.001003563
Allen,1,0.000501781
Allergies,1,0.000501781
All-Female,2,0.001003563
All-Girl,1,0.000501781
Alliance,7,0.003512469
Alliance-Building,1,0.000501781
Alliances,2,0.001003563
Allies,34,0.017060565
All-Important,1,0.000501781
All-In,1,0.000501781
All-Male,1,0.000501781
All-Night,1,0.000501781
Allocated,1,0.000501781
All-Out,1,0.000501781
Allow,22,0.011039189
Allowed,22,0.011039189
Allowing,14,0.007024939
Allows,8,0.004014251
All-Time,5,0.002508907
All-Time,1,0.000501781
Allure,1,0.000501781
All-Woman,1,0.000501781
Ally,16,0.008028501
Allyson,1,0.000501781
Alma,3,0.001505344
Almond,1,0.000501781
Almost,36,0.018064128
Almost,2,0.001003563
Alone,13,0.006523157
Alone,1,0.000501781
Along,22,0.011039189
Alongside,1,0.000501781
Already,82,0.041146069
Already-Struggling,1,0.000501781
Alright,3,0.001505344
ALS,1,0.000501781
Al-Shabaab,1,0.000501781
Also,26,0.013046314
also,1,0.000501781
